idx,home,away,league,season,score,odds,edge,won,llm_verdict,llm_confidence,llm_reason
1,Hibernian,Kilmarnock,SC0,2021,5,3.5,0.011340101879811992,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
11,Motherwell,Dundee United,SC0,2021,5,3.4,0.010596855651045956,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
31,Gent,Kortrijk,B1,2021,5,5.25,0.012324894361507632,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
33,Eupen,Club Brugge,B1,2021,5,4.8,0.01193264456894122,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
41,Ajaccio,Chateauroux,F2,2021,5,3.6,0.014049698023287482,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
47,Auxerre,Sochaux,F2,2021,5,3.2,0.025798486513216812,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
48,Chambly,Paris FC,F2,2021,4,3.0,0.02121492500666239,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
49,Clermont,Caen,F2,2021,5,3.1,0.01878172863168792,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
51,Rodez,Grenoble,F2,2021,5,3.1,0.013615688945138371,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
59,Valenciennes,Pau FC,F2,2021,5,3.3,0.011331715026849876,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
63,Nice,Lens,F1,2020_2021,5,3.5,0.014397979471508948,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
64,St Johnstone,Hibernian,SC0,2021,5,3.5,0.013153702412014467,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
70,Troyes,Le Havre,F2,2021,5,3.2,0.01124627908389525,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
77,Grenoble,Toulouse,F2,2021,5,3.1,0.012379069102484319,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
78,Kilmarnock,Dundee United,SC0,2021,5,3.4,0.011739121420433818,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
81,Caen,Ajaccio,F2,2021,4,3.0,0.017723822555184288,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
82,Chateauroux,Auxerre,F2,2021,5,3.1,0.011449984288189774,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
83,Dunkerque,Clermont,F2,2021,4,3.0,0.014727402572852544,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
84,Le Havre,Amiens,F2,2021,5,3.1,0.01373361068691098,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
86,Sochaux,Troyes,F2,2021,4,3.0,0.019023016149452898,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
88,Paris FC,Valenciennes,F2,2021,5,3.1,0.01752802941257947,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
92,Niort,Chambly,F2,2021,4,3.0,0.015774153251467193,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
93,Gent,Mechelen,B1,2021,5,4.1,0.010911292789095778,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
